序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今天,昨收,量比,换手率,市盈率(动态),市净率,Date
0,688510,N航亚,37.18,355.08,29.01,489326,1723514912.0,182.37,45.5,30.6,35.0,8.17,,98.96,182.68,10.45,2020-12-16
1,000995,皇台酒业,31.0,314.99,23.53,209699,611191536.0,80.32,31.0,25.0,25.0,7.47,2.28,11.82,1030.5,53.11,2020-12-16
2,688608,N恒玄,362.0,123.36,199.93,158149,5941389312.0,30.59,403.0,353.42,391.0,162.07,,68.82,278.46,8.03,2020-12-16
3,300106,西部牧业,15.17,13.46,1.8,475727,687301120.0,17.2,15.65,13.35,13.47,13.37,1.56,22.51,377.32,5.6,2020-12-16
4,300208,青岛中程,14.35,12.46,1.59,849974,1220425456.0,13.87,15.28,13.51,13.99,12.76,1.58,12.37,-530.68,6.14,2020-12-16
5,300089,文化长城,5.69,11.79,0.6,195061,111986955.0,18.66,6.11,5.16,5.17,5.09,4.49,6.93,-23.46,11.06,2020-12-16
6,300856,科思股份,65.82,10.71,6.37,44101,286626208.0,12.94,68.0,60.31,60.31,59.45,2.97,15.63,46.94,5.19,2020-12-16
7,300850,新强联,140.0,10.32,13.1,40211,541389040.0,11.75,141.8,126.89,128.05,126.9,1.35,15.17,43.0,11.01,2020-12-16
8,000812,陕西金叶,3.7,10.12,0.34,863289,308247664.0,12.2,3.7,3.29,3.35,3.36,1.24,12.88,224.38,1.97,2020-12-16
9,001896,豫能控股,5.01,10.11,0.46,459648,227753920.0,4.62,5.01,4.8,4.89,4.55,1.69,3.99,10.47,0.93,2020-12-16
10,000639,西王食品,6.33,10.09,0.58,538718,331961744.0,11.13,6.33,5.69,5.69,5.75,5.4,5.01,17.96,1.8,2020-12-16
11,600135,乐凯胶片,7.32,10.08,0.67,68775,50223643.0,4.81,7.32,7.0,7.0,6.65,2.38,1.84,86.51,1.59,2020-12-16
12,002570,贝因美,6.23,10.07,0.57,531992,319541440.0,10.42,6.23,5.64,5.68,5.66,4.24,5.2,94.05,3.51,2020-12-16
13,600098,广州发展,7.22,10.06,0.66,353553,246359848.0,11.13,7.22,6.49,6.55,6.56,4.35,1.3,17.42,1.11,2020-12-16
14,000848,承德露露,7.45,10.04,0.68,470179,340848272.0,10.49,7.45,6.74,6.76,6.77,3.18,4.37,20.04,3.87,2020-12-16
15,605299,舒华体育,11.52,10.03,1.05,2155,2482744.0,0.0,11.52,11.52,11.52,10.47,0.55,0.43,47.83,3.86,2020-12-16
16,600189,泉阳泉,11.75,10.02,1.07,530870,603631632.0,9.64,11.75,10.72,10.96,10.68,0.98,9.43,82.48,5.68,2020-12-16
17,600616,金枫酒业,9.12,10.01,0.83,1087506,959960512.0,13.15,9.12,8.03,8.05,8.29,1.27,16.26,5267.79,3.14,2020-12-16
18,600573,惠泉啤酒,10.88,10.01,0.99,385334,414048800.0,11.43,10.88,9.75,9.75,9.89,2.65,15.41,53.83,2.33,2020-12-16
19,003025,思进智能,40.9,10.01,3.72,1765,7218768.0,0.0,40.9,40.9,40.9,37.18,1.95,0.88,33.0,4.03,2020-12-16
20,603069,海汽集团,20.56,10.01,1.87,259806,516045040.0,12.09,20.56,18.3,18.5,18.69,2.22,8.22,-46.3,6.36,2020-12-16
21,605376,博迁新材,29.81,10.0,2.71,94274,281031952.0,0.0,29.81,29.81,29.81,27.1,11.05,14.42,50.57,5.65,2020-12-16
22,603025,大豪科技,16.94,10.0,1.54,15320,25951606.0,0.0,16.94,16.94,16.94,15.4,1.18,0.17,99.78,9.16,2020-12-16
23,600293,三峡新材,2.97,10.0,0.27,1173173,341931008.0,6.3,2.97,2.8,2.85,2.7,6.34,10.11,-4.37,1.03,2020-12-16
24,002646,青青稞酒,21.34,10.0,1.94,619820,1269056352.0,11.13,21.34,19.18,19.18,19.4,1.11,13.78,-111.99,4.18,2020-12-16
25,002026,山东威达,11.77,10.0,1.07,124379,146324559.0,1.87,11.77,11.57,11.77,10.7,1.37,2.96,22.26,2.01,2020-12-16
26,003020,立方制药,36.64,10.0,3.33,874,3201932.0,0.0,36.64,36.64,36.64,33.31,0.59,0.38,25.54,2.98,2020-12-16
27,000929,兰州黄河,10.24,9.99,0.93,76329,77215328.0,11.39,10.24,9.18,9.2,9.31,1.04,4.11,-70.58,2.88,2020-12-16
28,600559,老白干酒,30.06,9.99,2.73,1508891,4358408960.0,12.62,30.06,26.61,26.61,27.33,1.04,17.21,86.81,7.97,2020-12-16
29,605151,西上海,25.55,9.99,2.32,2981,7617017.0,0.0,25.55,25.55,25.55,23.23,0.94,0.89,29.79,3.05,2020-12-16
30,600199,金种子酒,14.23,9.97,1.29,686544,949606464.0,12.52,14.23,12.61,12.69,12.94,0.74,11.32,-66.85,3.44,2020-12-16
31,600711,盛屯矿业,7.06,9.97,0.64,2101030,1461708416.0,4.05,7.06,6.8,6.99,6.42,2.36,10.98,45.41,1.77,2020-12-16
32,002731,萃华珠宝,8.18,9.95,0.74,126667,103104322.0,2.82,8.18,7.97,8.1,7.44,3.75,5.69,44.07,1.66,2020-12-16
33,002721,金一文化,3.65,9.94,0.33,91532,32800799.0,8.43,3.65,3.37,3.37,3.32,1.22,1.25,-5.9,0.77,2020-12-16
34,600300,维维股份,4.65,9.93,0.42,1711516,772621472.0,9.69,4.65,4.24,4.25,4.23,2.22,10.24,18.43,2.75,2020-12-16
35,000816,智慧农业,3.89,9.89,0.35,3054546,1132513872.0,11.58,3.89,3.48,3.58,3.54,1.9,22.86,92.39,2.65,2020-12-16
36,603919,金徽酒,48.19,9.87,4.33,468888,2174609600.0,10.81,48.24,43.5,43.55,43.86,1.3,9.54,115.45,9.38,2020-12-16
37,601579,会稽山,12.19,9.82,1.09,533978,632416496.0,11.89,12.21,10.89,10.89,11.1,1.79,10.74,70.64,1.93,2020-12-16
38,002870,香山股份,24.71,9.09,2.06,34063,80972297.0,9.93,24.88,22.63,22.88,22.65,2.76,7.03,41.01,3.49,2020-12-16
39,601908,京运通,8.17,8.79,0.66,1323124,1062803552.0,10.79,8.26,7.45,7.45,7.51,1.82,6.64,29.34,2.15,2020-12-16
40,002114,罗平锌电,7.17,8.14,0.54,197743,139726284.0,9.95,7.29,6.63,6.65,6.63,1.91,6.11,-15.58,1.59,2020-12-16
41,300064,ST金刚,5.12,8.02,0.38,1194092,597449168.0,15.4,5.23,4.5,4.55,4.74,0.84,17.15,-9.62,4.98,2020-12-16
42,603198,迎驾贡酒,38.26,7.77,2.76,324774,1207766752.0,11.35,38.98,34.95,35.03,35.5,1.13,4.06,43.16,6.49,2020-12-16
43,003023,彩虹集团,44.76,7.54,3.14,124928,550126416.0,7.74,45.68,42.46,45.68,41.62,5.12,61.54,34.26,2.96,2020-12-16
44,600490,鹏欣资源,4.0,7.53,0.28,811269,324322944.0,8.06,4.09,3.79,3.85,3.72,3.24,4.83,99.49,1.4,2020-12-16
45,002946,新乳业,20.05,7.51,1.4,224858,449905152.0,8.31,20.52,18.97,19.0,18.65,3.65,14.11,69.31,8.37,2020-12-16
